Timestamp,Date,Active Addresses
1438905600000,2015-08-07,784
1438992000000,2015-08-08,605
1439078400000,2015-08-09,462
1439164800000,2015-08-10,821
1439251200000,2015-08-11,2132
1439337600000,2015-08-12,581
1439424000000,2015-08-13,872
1439510400000,2015-08-14,1115
1439596800000,2015-08-15,857
1439683200000,2015-08-16,765
1439769600000,2015-08-17,816
1439856000000,2015-08-18,834
1439942400000,2015-08-19,823
1440028800000,2015-08-20,658
1440115200000,2015-08-21,913
1440201600000,2015-08-22,840
1440288000000,2015-08-23,885
1440374400000,2015-08-24,873
1440460800000,2015-08-25,951
1440547200000,2015-08-26,883
1440633600000,2015-08-27,929
1440720000000,2015-08-28,919
1440806400000,2015-08-29,839
1440892800000,2015-08-30,931
1440979200000,2015-08-31,947
1441065600000,2015-09-01,916
1441152000000,2015-09-02,875
1441238400000,2015-09-03,778
1441324800000,2015-09-04,761
1441411200000,2015-09-05,830
1441497600000,2015-09-06,965
1441584000000,2015-09-07,969
1441670400000,2015-09-08,1003
1441756800000,2015-09-09,980
1441843200000,2015-09-10,989
1441929600000,2015-09-11,1088
1442016000000,2015-09-12,942
1442102400000,2015-09-13,954
1442188800000,2015-09-14,1013
1442275200000,2015-09-15,906
1442361600000,2015-09-16,920
1442448000000,2015-09-17,982
1442534400000,2015-09-18,891
1442620800000,2015-09-19,840
1442707200000,2015-09-20,904
1442793600000,2015-09-21,988
1442880000000,2015-09-22,1001
1442966400000,2015-09-23,969
1443052800000,2015-09-24,1004
1443139200000,2015-09-25,974
1443225600000,2015-09-26,890
1443312000000,2015-09-27,907
1443398400000,2015-09-28,1003
1443484800000,2015-09-29,962
1443571200000,2015-09-30,924
1443657600000,2015-10-01,947
1443744000000,2015-10-02,857
1443830400000,2015-10-03,890
1443916800000,2015-10-04,872
1444003200000,2015-10-05,871
1444089600000,2015-10-06,907
1444176000000,2015-10-07,881
1444262400000,2015-10-08,865
1444348800000,2015-10-09,868
1444435200000,2015-10-10,793
1444521600000,2015-10-11,840
1444608000000,2015-10-12,832
1444694400000,2015-10-13,846
1444780800000,2015-10-14,956
1444867200000,2015-10-15,876
1444953600000,2015-10-16,882
1445040000000,2015-10-17,867
1445126400000,2015-10-18,818
1445212800000,2015-10-19,842
1445299200000,2015-10-20,837
1445385600000,2015-10-21,873
1445472000000,2015-10-22,849
1445558400000,2015-10-23,957
1445644800000,2015-10-24,869
1445731200000,2015-10-25,918
1445817600000,2015-10-26,987
1445904000000,2015-10-27,1150
1445990400000,2015-10-28,1167
1446076800000,2015-10-29,1269
1446163200000,2015-10-30,1315
1446249600000,2015-10-31,1222
1446336000000,2015-11-01,1157
1446422400000,2015-11-02,1332
1446508800000,2015-11-03,1249
1446595200000,2015-11-04,1241
1446681600000,2015-11-05,1288
1446768000000,2015-11-06,1241
1446854400000,2015-11-07,1176
1446940800000,2015-11-08,1188
1447027200000,2015-11-09,1342
1447113600000,2015-11-10,1270
1447200000000,2015-11-11,1260
1447286400000,2015-11-12,1215
1447372800000,2015-11-13,1194
1447459200000,2015-11-14,1240
1447545600000,2015-11-15,1219
1447632000000,2015-11-16,1272
1447718400000,2015-11-17,1306
1447804800000,2015-11-18,1304
1447891200000,2015-11-19,1280
1447977600000,2015-11-20,1068
1448064000000,2015-11-21,1097
1448150400000,2015-11-22,1027
1448236800000,2015-11-23,1137
1448323200000,2015-11-24,1127
1448409600000,2015-11-25,1123
1448496000000,2015-11-26,1140
1448582400000,2015-11-27,1030
