Timestamp,Date,Active Addresses
1584316800000,2020-03-16,104
1602028800000,2020-10-07,118
1602115200000,2020-10-08,370
1602201600000,2020-10-09,377
1602288000000,2020-10-10,147
1602374400000,2020-10-11,211
1602460800000,2020-10-12,299
1602547200000,2020-10-13,288
1602633600000,2020-10-14,388
1602720000000,2020-10-15,389
1602806400000,2020-10-16,389
1602892800000,2020-10-17,126
1602979200000,2020-10-18,124
1603065600000,2020-10-19,197
1603152000000,2020-10-20,155
1603238400000,2020-10-21,187
1603324800000,2020-10-22,189
1603411200000,2020-10-23,157
1603497600000,2020-10-24,129
1603584000000,2020-10-25,173
1603670400000,2020-10-26,162
1603756800000,2020-10-27,343
1603843200000,2020-10-28,353
1603929600000,2020-10-29,227
1604016000000,2020-10-30,326
1604102400000,2020-10-31,224
1604188800000,2020-11-01,230
1604275200000,2020-11-02,261
1604361600000,2020-11-03,292
1604448000000,2020-11-04,1726
1604534400000,2020-11-05,1979
1604620800000,2020-11-06,598
1604707200000,2020-11-07,6251
1604793600000,2020-11-08,463
1604880000000,2020-11-09,321
1604966400000,2020-11-10,500
1605052800000,2020-11-11,782
1605139200000,2020-11-12,1330
1605225600000,2020-11-13,2745
1605312000000,2020-11-14,3389
1605398400000,2020-11-15,4331
1605484800000,2020-11-16,3415
1605571200000,2020-11-17,518
1605657600000,2020-11-18,478
1605744000000,2020-11-19,208
1605830400000,2020-11-20,262
1605916800000,2020-11-21,220
1606003200000,2020-11-22,192
1606089600000,2020-11-23,1166
1606176000000,2020-11-24,389
1606262400000,2020-11-25,779
1606348800000,2020-11-26,494
1606435200000,2020-11-27,328
1606521600000,2020-11-28,286
1606608000000,2020-11-29,374
1606694400000,2020-11-30,462
1606780800000,2020-12-01,408
1606867200000,2020-12-02,322
1606953600000,2020-12-03,559
1607040000000,2020-12-04,354
1607126400000,2020-12-05,334
1607212800000,2020-12-06,628
1607299200000,2020-12-07,343
1607385600000,2020-12-08,217
1607472000000,2020-12-09,182
1607558400000,2020-12-10,149
1607644800000,2020-12-11,148
1607731200000,2020-12-12,140
1607817600000,2020-12-13,115
1607904000000,2020-12-14,220
1607990400000,2020-12-15,374
1608076800000,2020-12-16,332
1608163200000,2020-12-17,439
1608249600000,2020-12-18,941
1608336000000,2020-12-19,804
1608422400000,2020-12-20,975
1608508800000,2020-12-21,1753
1608595200000,2020-12-22,6897
1608681600000,2020-12-23,1143
1608768000000,2020-12-24,801
1608854400000,2020-12-25,677
1608940800000,2020-12-26,1117
1609027200000,2020-12-27,765
1609113600000,2020-12-28,1208
1609200000000,2020-12-29,1251
1609286400000,2020-12-30,1412
1609372800000,2020-12-31,1908
1609459200000,2021-01-01,356
1609545600000,2021-01-02,461
1609632000000,2021-01-03,546
1609718400000,2021-01-04,394
1609804800000,2021-01-05,570
1609891200000,2021-01-06,621
1609977600000,2021-01-07,958
1610064000000,2021-01-08,574
1610150400000,2021-01-09,641
1610236800000,2021-01-10,865
1610323200000,2021-01-11,1498
1610409600000,2021-01-12,1152
1610496000000,2021-01-13,1488
1610582400000,2021-01-14,1292
1610668800000,2021-01-15,262
1610755200000,2021-01-16,571
1610841600000,2021-01-17,969
1610928000000,2021-01-18,1443
1611014400000,2021-01-19,1448
1611100800000,2021-01-20,1236
1611187200000,2021-01-21,2111
1611273600000,2021-01-22,1469
1611360000000,2021-01-23,2612
1611446400000,2021-01-24,1968
1611532800000,2021-01-25,1956
1611619200000,2021-01-26,492
1611705600000,2021-01-27,652
1611792000000,2021-01-28,553
1611878400000,2021-01-29,456
1611964800000,2021-01-30,555
1612051200000,2021-01-31,894
1612137600000,2021-02-01,2146
1612224000000,2021-02-02,929
1612310400000,2021-02-03,739
1612396800000,2021-02-04,805
1612483200000,2021-02-05,858
1612569600000,2021-02-06,703
1612656000000,2021-02-07,628
1612742400000,2021-02-08,946
1612828800000,2021-02-09,862
1612915200000,2021-02-10,1105
1613001600000,2021-02-11,1197
1613088000000,2021-02-12,841
1613174400000,2021-02-13,776
1613260800000,2021-02-14,823
1613347200000,2021-02-15,841
1613433600000,2021-02-16,986
1613520000000,2021-02-17,936
1613606400000,2021-02-18,901
1613692800000,2021-02-19,1493
1613779200000,2021-02-20,1440
1613865600000,2021-02-21,3520
1613952000000,2021-02-22,3397
1614038400000,2021-02-23,2692
1614124800000,2021-02-24,3372
1614211200000,2021-02-25,9998
1614297600000,2021-02-26,4108
1614384000000,2021-02-27,2953
1614470400000,2021-02-28,2215
1614556800000,2021-03-01,1975
1614643200000,2021-03-02,2922
1614729600000,2021-03-03,2700
1614816000000,2021-03-04,2404
