Timestamp,Date,App Revenue
1644796800000,2022-02-14,11135
1644883200000,2022-02-15,12194
1644969600000,2022-02-16,12729
1645056000000,2022-02-17,12729
1645142400000,2022-02-18,10228
1645228800000,2022-02-19,8711
1645315200000,2022-02-20,11004
1645401600000,2022-02-21,9152
1645488000000,2022-02-22,9152
1645574400000,2022-02-23,13017
1645660800000,2022-02-24,13017
1645747200000,2022-02-25,6931
1645833600000,2022-02-26,5084
1645920000000,2022-02-27,7571
1646006400000,2022-02-28,7216
1646092800000,2022-03-01,6450
1646179200000,2022-03-02,6450
1646265600000,2022-03-03,7687
1646352000000,2022-03-04,8154
1646438400000,2022-03-05,3803
1646524800000,2022-03-06,3803
1646611200000,2022-03-07,5133
1646697600000,2022-03-08,2594
1646784000000,2022-03-09,3189
1646870400000,2022-03-10,1975
1646956800000,2022-03-11,2171
1647043200000,2022-03-12,2142
1647129600000,2022-03-13,2142
1647216000000,2022-03-14,3046
1647302400000,2022-03-15,3819
1647388800000,2022-03-16,3819
1647475200000,2022-03-17,6103
1647561600000,2022-03-18,5315
1647648000000,2022-03-19,4349
1647734400000,2022-03-20,4349
1647820800000,2022-03-21,2997
1647907200000,2022-03-22,3101
1647993600000,2022-03-23,6476
1648080000000,2022-03-24,4716
1648166400000,2022-03-25,4359
1648252800000,2022-03-26,6185
1648339200000,2022-03-27,6324
1648425600000,2022-03-28,6324
1648512000000,2022-03-29,6079
1648598400000,2022-03-30,7904
1648684800000,2022-03-31,5635
1648771200000,2022-04-01,5001
1648857600000,2022-04-02,2369
1648944000000,2022-04-03,2224
1649030400000,2022-04-04,4494
1649116800000,2022-04-05,6380
1649203200000,2022-04-06,3810
1649289600000,2022-04-07,4229
1649376000000,2022-04-08,2338
1649462400000,2022-04-09,2178
1649548800000,2022-04-10,4885
1649635200000,2022-04-11,2690
1649721600000,2022-04-12,3734
1649808000000,2022-04-13,4018
1649894400000,2022-04-14,5293
1649980800000,2022-04-15,3588
1650067200000,2022-04-16,5349
1650153600000,2022-04-17,3080
1650240000000,2022-04-18,3080
1650326400000,2022-04-19,2658
1650412800000,2022-04-20,2494
1650499200000,2022-04-21,3071
1650585600000,2022-04-22,4166
1650672000000,2022-04-23,3056
1650758400000,2022-04-24,3526
1650844800000,2022-04-25,1666
1650931200000,2022-04-26,1666
1651017600000,2022-04-27,4044
1651104000000,2022-04-28,9369
1651190400000,2022-04-29,3142
1651276800000,2022-04-30,7010
1651363200000,2022-05-01,7010
1651449600000,2022-05-02,41336
1651536000000,2022-05-03,39231
1651622400000,2022-05-04,22100
1651708800000,2022-05-05,33095
1651795200000,2022-05-06,14039
1651881600000,2022-05-07,15303
1651968000000,2022-05-08,31930
1652054400000,2022-05-09,8143
1652140800000,2022-05-10,8922
1652227200000,2022-05-11,4417
1652313600000,2022-05-12,1658
1652400000000,2022-05-13,4095
1652486400000,2022-05-14,2618
1652572800000,2022-05-15,8569
1652659200000,2022-05-16,6890
1652745600000,2022-05-17,13598
1652832000000,2022-05-18,10285
1652918400000,2022-05-19,6200
1653004800000,2022-05-20,6106
1653091200000,2022-05-21,23544
1653177600000,2022-05-22,30045
1653264000000,2022-05-23,21146
1653350400000,2022-05-24,17895
1653436800000,2022-05-25,15406
1653523200000,2022-05-26,2350
1653609600000,2022-05-27,4378
1653696000000,2022-05-28,4235
1653782400000,2022-05-29,2184
1653868800000,2022-05-30,3295
1653955200000,2022-05-31,2471
1654041600000,2022-06-01,1171
1654128000000,2022-06-02,3213
1654214400000,2022-06-03,5284
1654300800000,2022-06-04,3334
1654387200000,2022-06-05,1430
1654473600000,2022-06-06,4628
1654560000000,2022-06-07,1206
1654646400000,2022-06-08,1790
1654732800000,2022-06-09,2136
1654819200000,2022-06-10,1868
1654905600000,2022-06-11,2399
1654992000000,2022-06-12,1766
1655078400000,2022-06-13,893
1655164800000,2022-06-14,16936
1655251200000,2022-06-15,1790
1655337600000,2022-06-16,1476
1655424000000,2022-06-17,1739
1655510400000,2022-06-18,980
1655596800000,2022-06-19,1764
