Timestamp,Date,Serum,Raydium AMM,Orca DEX,Meteora DAMM V1,Saber,Allbridge Classic,Synthetify,Aldrin,Saros AMM,Crema Finance,Hashflow,WOOFi Swap,Penguin,Invariant,Lifinity V1,OpenBook,Obric,PancakeSwap AMM V3,FluxBeam,Phoenix,Sanctum Reserve,Garden,Meteora DLMM,Sanctum Infinity,pump.fun,Cropper CLMM,C3 Exchange,stabble,Ape Jupiter,DeltaTrade,GMX V2 AMM,Drift AMM,Mango Markets V4 AMM,Manifest Trade,Mantis,DefiTuna AMM,PumpSwap,Sandglass,GooseFX V2,LaunchLab,boop.fun,Skate AMM,Saros DLMM,Meteora DAMM V2,Meteora Dynamic Bonding Curve,Byreal,Prophet.fun,Orca Wavebreak,SolFi,HumidiFi,ZeroFi,GoonFi,Tessera V,Aqua,Heaven
1633132800,2021-10-02,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633219200,2021-10-03,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633305600,2021-10-04,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633392000,2021-10-05,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633478400,2021-10-06,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633564800,2021-10-07,,,,,,,42287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633651200,2021-10-08,,,,,,,33360,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633737600,2021-10-09,,,,,,,13601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633824000,2021-10-10,,,,,,,47552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633910400,2021-10-11,,,,,,,19481,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1633996800,2021-10-12,,,,,,,18576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634083200,2021-10-13,,,,,,,2968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634169600,2021-10-14,,,,,,,31697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634256000,2021-10-15,,,,,,,275161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634342400,2021-10-16,,,,,,,1141819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634428800,2021-10-17,,,,,,,65818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634515200,2021-10-18,,,,,,,15260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634601600,2021-10-19,,,,,,,100286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634688000,2021-10-20,,,,,,,10929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634774400,2021-10-21,,,,,,,246353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634860800,2021-10-22,,,,,,,223185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1634947200,2021-10-23,,,,,,,121817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635033600,2021-10-24,,,,,,,36176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635120000,2021-10-25,,,,,,,365946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635206400,2021-10-26,,,,,,,1085978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635292800,2021-10-27,,,,,,,1182288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635379200,2021-10-28,,,,,,,412394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635465600,2021-10-29,,,,,,,664863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635552000,2021-10-30,,,,,,,917332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635638400,2021-10-31,,,,,,,71914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635724800,2021-11-01,,,,,,,133931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635811200,2021-11-02,,,,,,,343255,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635897600,2021-11-03,,,,,,,422857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1635984000,2021-11-04,,,,,,,101180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636070400,2021-11-05,,,,,,,943020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636156800,2021-11-06,,,,,,,111395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636243200,2021-11-07,,,,,,,536425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636329600,2021-11-08,,,,,,,12221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636416000,2021-11-09,,,,,,,8715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636502400,2021-11-10,,,,,,,466423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636588800,2021-11-11,,,,,,,356665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636675200,2021-11-12,,,,,,,246815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636761600,2021-11-13,,,,,,,165442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636848000,2021-11-14,,,,,,,10841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1636934400,2021-11-15,,,,,,,1931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637020800,2021-11-16,,,,,,,115922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637107200,2021-11-17,,,,,,,231845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637193600,2021-11-18,,,,,,,89830,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637280000,2021-11-19,,,,,,,23617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637366400,2021-11-20,,,,,,,518202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637452800,2021-11-21,,,,,,,7815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637539200,2021-11-22,,,,,,,8977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637625600,2021-11-23,,,,,,,17955,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637712000,2021-11-24,,,,,,,26933,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637798400,2021-11-25,,,,,,,980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637884800,2021-11-26,,,,,,,422951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1637971200,2021-11-27,,,,,,,184231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638057600,2021-11-28,,,,,,,610689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638144000,2021-11-29,,,,,,,30874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638230400,2021-11-30,,,,,,,24576,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638316800,2021-12-01,,,,,,,509643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638403200,2021-12-02,,,,,,,20298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1638489600,2021-12-03,,,,,,,24220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
