Date,REV ($)
2025-09-09,"1,059,654.54"
2025-09-08,"1,014,923.56"
2025-09-07,"548,190.01"
2025-09-06,"672,301.16"
2025-09-05,"1,179,088.21"
2025-09-04,"1,194,920.26"
2025-09-03,"1,146,946.69"
2025-09-02,"1,075,435.15"
2025-09-01,"7,004,931.52"
2025-08-31,"721,309.55"
2025-08-30,"662,186.27"
2025-08-29,"1,398,589.46"
2025-08-28,"1,279,263.69"
2025-08-27,"1,765,249.22"
2025-08-26,"1,293,472.14"
2025-08-25,"1,806,797.76"
2025-08-24,"1,526,129.27"
2025-08-23,"1,092,144.45"
2025-08-22,"3,172,541.93"
2025-08-21,"1,319,341.86"
2025-08-20,"1,401,372.21"
2025-08-19,"1,493,165.30"
2025-08-18,"1,418,271.12"
2025-08-17,"955,649.55"
2025-08-16,"846,050.57"
2025-08-15,"1,857,015.43"
2025-08-14,"3,911,197.39"
2025-08-13,"3,232,780.45"
2025-08-12,"2,354,370.43"
2025-08-11,"1,631,218.01"
2025-08-10,"1,222,770.47"
2025-08-09,"1,490,881.41"
2025-08-08,"1,414,021.18"
2025-08-07,"1,175,055.45"
2025-08-06,"948,090.63"
2025-08-05,"1,332,668.40"
2025-08-04,"915,336.11"
2025-08-03,"641,382.96"
2025-08-02,"863,895.84"
2025-08-01,"1,413,102.72"
2025-07-31,"2,310,184.70"
2025-07-30,"2,440,313.72"
2025-07-29,"2,503,320.83"
2025-07-28,"1,209,560.78"
2025-07-27,"835,644.28"
2025-07-26,"806,578.00"
2025-07-25,"1,324,026.57"
2025-07-24,"1,467,525.03"
2025-07-23,"1,622,823.33"
2025-07-22,"1,899,991.81"
2025-07-21,"2,434,861.61"
2025-07-20,"2,165,055.18"
2025-07-19,"1,116,832.56"
2025-07-18,"3,578,758.63"
2025-07-17,"4,409,276.75"
2025-07-16,"3,387,612.58"
2025-07-15,"2,042,766.46"
2025-07-14,"2,610,314.27"
2025-07-13,"1,057,098.80"
2025-07-12,"940,252.62"
2025-07-11,"2,845,750.79"
2025-07-10,"2,654,694.76"
2025-07-09,"1,809,433.84"
2025-07-08,"1,065,803.75"
2025-07-07,"1,226,150.65"
2025-07-06,"637,057.78"
2025-07-05,"593,482.67"
2025-07-04,"801,252.51"
2025-07-03,"1,037,551.65"
2025-07-02,"1,145,377.25"
2025-07-01,"1,111,302.68"
2025-06-30,"1,288,433.24"
2025-06-29,"609,646.75"
2025-06-28,"585,797.13"
2025-06-27,"934,461.20"
2025-06-26,"1,746,387.95"
2025-06-25,"1,907,204.91"
2025-06-24,"2,126,235.29"
2025-06-23,"2,289,338.85"
2025-06-22,"1,895,577.07"
2025-06-21,"1,447,927.95"
2025-06-20,"1,314,387.35"
2025-06-19,"1,177,545.61"
2025-06-18,"1,023,559.39"
2025-06-17,"1,350,589.73"
2025-06-16,"1,355,640.31"
2025-06-15,"605,042.10"
2025-06-14,"580,224.84"
