Date,REV ($)
2025-09-09,"1,825,519.41"
2025-09-08,"1,751,923.62"
2025-09-07,"1,384,979.83"
2025-09-06,"1,377,319.04"
2025-09-05,"1,886,289.74"
2025-09-04,"1,949,540.61"
2025-09-03,"2,263,216.67"
2025-09-02,"2,274,037.17"
2025-09-01,"1,953,373.78"
2025-08-31,"1,467,925.72"
2025-08-30,"1,623,401.60"
2025-08-29,"2,613,020.67"
2025-08-28,"2,636,432.62"
2025-08-27,"3,111,775.31"
2025-08-26,"2,348,980.26"
2025-08-25,"2,325,346.06"
2025-08-24,"2,085,016.70"
2025-08-23,"1,811,013.68"
2025-08-22,"2,472,514.78"
2025-08-21,"3,075,578.11"
2025-08-20,"1,991,801.81"
2025-08-19,"2,200,574.10"
2025-08-18,"2,307,258.05"
2025-08-17,"1,754,141.42"
2025-08-16,"2,051,193.77"
2025-08-15,"2,635,767.14"
2025-08-14,"3,842,935.30"
2025-08-13,"3,774,874.29"
2025-08-12,"3,504,230.84"
2025-08-11,"3,248,970.77"
2025-08-10,"2,406,350.44"
2025-08-09,"2,683,624.30"
2025-08-08,"3,049,197.45"
2025-08-07,"3,361,493.91"
2025-08-06,"2,700,891.72"
2025-08-05,"2,835,957.97"
2025-08-04,"2,468,877.02"
2025-08-03,"1,719,925.51"
2025-08-02,"1,563,754.05"
2025-08-01,"2,173,439.57"
2025-07-31,"2,687,818.59"
2025-07-30,"2,734,514.86"
2025-07-29,"2,752,188.82"
2025-07-28,"3,002,366.87"
2025-07-27,"2,071,096.94"
2025-07-26,"2,297,242.26"
2025-07-25,"2,552,269.35"
2025-07-24,"3,330,228.10"
2025-07-23,"3,256,456.40"
2025-07-22,"3,803,138.30"
2025-07-21,"3,372,005.81"
2025-07-20,"2,598,946.76"
2025-07-19,"2,287,430.07"
2025-07-18,"4,091,280.71"
2025-07-17,"3,969,607.83"
2025-07-16,"3,968,112.18"
2025-07-15,"3,202,050.43"
2025-07-14,"3,216,037.92"
2025-07-13,"1,986,730.81"
2025-07-12,"1,982,279.92"
2025-07-11,"2,622,296.35"
2025-07-10,"2,861,517.25"
2025-07-09,"2,478,558.95"
2025-07-08,"2,671,570.35"
2025-07-07,"2,770,797.74"
2025-07-06,"2,661,956.56"
2025-07-05,"2,258,533.63"
2025-07-04,"2,009,636.37"
2025-07-03,"2,628,345.93"
2025-07-02,"2,571,546.51"
2025-07-01,"2,330,049.56"
2025-06-30,"2,521,024.72"
2025-06-29,"1,633,708.74"
2025-06-28,"1,798,196.48"
2025-06-27,"2,090,681.68"
2025-06-26,"2,151,371.53"
2025-06-25,"2,432,152.43"
2025-06-24,"1,973,041.59"
2025-06-23,"1,775,536.82"
2025-06-22,"1,554,554.11"
2025-06-21,"1,687,108.96"
2025-06-20,"1,824,324.85"
2025-06-19,"2,091,785.74"
2025-06-18,"1,964,830.96"
2025-06-17,"1,919,431.53"
2025-06-16,"2,793,481.54"
2025-06-15,"1,592,920.27"
2025-06-14,"1,549,983.18"
2025-06-13,"2,060,574.70"
2025-06-12,"2,119,060.07"
2025-06-11,"2,424,081.73"
2025-06-10,"2,321,151.25"
2025-06-09,"2,287,625.92"
2025-06-08,"1,650,119.02"
2025-06-07,"1,720,055.71"
2025-06-06,"2,361,749.06"
2025-06-05,"3,224,233.65"
2025-06-04,"2,165,080.80"
2025-06-03,"2,675,133.63"
2025-06-02,"2,381,942.14"
2025-06-01,"1,901,274.31"
2025-05-31,"1,795,693.84"
2025-05-30,"2,145,844.13"
2025-05-29,"2,614,808.60"
2025-05-28,"2,646,390.81"
2025-05-27,"2,909,733.25"
2025-05-26,"2,949,963.71"
2025-05-25,"2,294,074.01"
2025-05-24,"2,262,996.38"
2025-05-23,"3,620,076.08"
2025-05-22,"4,360,028.11"
2025-05-21,"3,909,740.05"
2025-05-20,"3,927,486.72"
2025-05-19,"3,583,806.12"
2025-05-18,"3,431,783.91"
2025-05-17,"3,880,397.81"
2025-05-16,"4,801,575.41"
2025-05-15,"6,501,504.47"
2025-05-14,"8,351,012.04"
2025-05-13,"7,961,901.28"
2025-05-12,"5,366,953.61"
2025-05-11,"3,430,313.09"
2025-05-10,"3,185,800.37"
2025-05-09,"4,169,350.98"
2025-05-08,"4,654,566.60"
2025-05-07,"3,560,030.18"
2025-05-06,"3,735,434.35"
2025-05-05,"3,174,120.18"
2025-05-04,"2,892,965.69"
2025-05-03,"3,309,145.56"
2025-05-02,"3,950,795.09"
2025-05-01,"5,478,449.07"
2025-04-30,"3,763,174.13"
2025-04-29,"4,035,391.78"
2025-04-28,"3,828,126.96"
2025-04-27,"3,083,478.35"
2025-04-26,"3,202,939.01"
2025-04-25,"4,111,053.89"
2025-04-24,"3,378,846.59"
2025-04-23,"3,790,494.47"
2025-04-22,"3,277,379.00"
2025-04-21,"3,095,097.51"
2025-04-20,"2,101,166.77"
2025-04-19,"2,384,075.74"
2025-04-18,"2,687,462.43"
2025-04-17,"3,277,521.60"
2025-04-16,"4,028,444.14"
2025-04-15,"3,461,065.21"
2025-04-14,"3,311,464.59"
2025-04-13,"2,666,514.57"
2025-04-12,"2,943,927.42"
2025-04-11,"2,550,217.75"
2025-04-10,"2,597,068.96"
2025-04-09,"3,047,222.81"
2025-04-08,"2,408,303.58"
2025-04-07,"2,256,017.80"
2025-04-06,"1,686,741.26"
2025-04-05,"1,790,586.89"
2025-04-04,"1,914,029.32"
2025-04-03,"2,027,375.83"
2025-04-02,"2,746,834.50"
2025-04-01,"2,822,505.00"
2025-03-31,"2,353,302.99"
2025-03-30,"1,904,409.54"
2025-03-29,"2,115,086.97"
2025-03-28,"2,904,026.42"
2025-03-27,"2,640,623.89"
2025-03-26,"2,754,878.36"
2025-03-25,"3,292,344.37"
2025-03-24,"2,904,082.09"
2025-03-23,"1,633,678.05"
2025-03-22,"1,178,315.80"
2025-03-21,"1,198,769.17"
2025-03-20,"2,008,202.38"
2025-03-19,"1,993,931.77"
2025-03-18,"1,812,699.42"
2025-03-17,"2,191,549.44"
2025-03-16,"1,725,442.65"
2025-03-15,"2,190,564.56"
2025-03-14,"2,019,668.39"
2025-03-13,"2,116,349.40"
2025-03-12,"2,165,412.16"
2025-03-11,"1,983,057.39"
2025-03-10,"2,057,078.63"
2025-03-09,"1,976,457.57"
2025-03-08,"2,376,730.48"
2025-03-07,"3,651,656.82"
2025-03-06,"2,739,111.14"
2025-03-05,"2,782,688.25"
2025-03-04,"2,504,381.82"
2025-03-03,"3,406,382.45"
2025-03-02,"3,149,652.17"
2025-03-01,"1,748,399.32"
2025-02-28,"2,275,634.23"
2025-02-27,"2,552,070.15"
2025-02-26,"2,509,205.66"
2025-02-25,"3,139,896.79"
2025-02-24,"3,524,767.29"
2025-02-23,"3,379,691.69"
2025-02-22,"3,308,228.65"
2025-02-21,"4,140,874.15"
2025-02-20,"4,643,419.87"
2025-02-19,"5,359,016.65"
2025-02-18,"4,924,333.98"
2025-02-17,"4,733,236.22"
2025-02-16,"4,874,002.19"
2025-02-15,"6,067,432.57"
2025-02-14,"10,006,535.15"
