Timestamp,Date,Transactions
1438905600000,2015-08-07,2050
1438992000000,2015-08-08,2881
1439078400000,2015-08-09,1329
1439164800000,2015-08-10,2037
1439251200000,2015-08-11,4963
1439337600000,2015-08-12,2036
1439424000000,2015-08-13,2842
1439510400000,2015-08-14,3174
1439596800000,2015-08-15,2284
1439683200000,2015-08-16,2440
1439769600000,2015-08-17,2512
1439856000000,2015-08-18,2494
1439942400000,2015-08-19,3246
1440028800000,2015-08-20,2303
1440115200000,2015-08-21,3919
1440201600000,2015-08-22,3579
1440288000000,2015-08-23,4190
1440374400000,2015-08-24,4432
1440460800000,2015-08-25,4487
1440547200000,2015-08-26,4156
1440633600000,2015-08-27,5590
1440720000000,2015-08-28,4758
1440806400000,2015-08-29,4139
1440892800000,2015-08-30,4572
1440979200000,2015-08-31,5196
1441065600000,2015-09-01,5153
1441152000000,2015-09-02,5195
1441238400000,2015-09-03,4777
1441324800000,2015-09-04,5642
1441411200000,2015-09-05,5519
1441497600000,2015-09-06,5521
1441584000000,2015-09-07,5702
1441670400000,2015-09-08,5622
1441756800000,2015-09-09,5604
1441843200000,2015-09-10,5341
1441929600000,2015-09-11,6460
1442016000000,2015-09-12,5596
1442102400000,2015-09-13,6057
1442188800000,2015-09-14,5572
1442275200000,2015-09-15,5409
1442361600000,2015-09-16,5872
1442448000000,2015-09-17,5368
1442534400000,2015-09-18,5802
1442620800000,2015-09-19,5205
1442707200000,2015-09-20,6402
1442793600000,2015-09-21,6305
1442880000000,2015-09-22,6804
1442966400000,2015-09-23,7404
1443052800000,2015-09-24,6224
1443139200000,2015-09-25,5851
1443225600000,2015-09-26,5907
1443312000000,2015-09-27,5760
1443398400000,2015-09-28,6123
1443484800000,2015-09-29,5738
1443571200000,2015-09-30,5870
1443657600000,2015-10-01,6421
1443744000000,2015-10-02,6063
1443830400000,2015-10-03,6112
1443916800000,2015-10-04,6624
1444003200000,2015-10-05,6279
1444089600000,2015-10-06,6458
1444176000000,2015-10-07,7121
1444262400000,2015-10-08,6926
1444348800000,2015-10-09,6763
1444435200000,2015-10-10,6529
1444521600000,2015-10-11,6023
1444608000000,2015-10-12,6593
1444694400000,2015-10-13,6818
1444780800000,2015-10-14,6830
1444867200000,2015-10-15,6499
1444953600000,2015-10-16,6795
1445040000000,2015-10-17,6567
1445126400000,2015-10-18,6481
1445212800000,2015-10-19,6604
1445299200000,2015-10-20,5897
1445385600000,2015-10-21,6182
1445472000000,2015-10-22,5979
1445558400000,2015-10-23,6888
1445644800000,2015-10-24,6361
1445731200000,2015-10-25,5830
1445817600000,2015-10-26,5938
1445904000000,2015-10-27,6784
1445990400000,2015-10-28,7346
1446076800000,2015-10-29,7836
1446163200000,2015-10-30,7941
1446249600000,2015-10-31,7557
1446336000000,2015-11-01,6915
1446422400000,2015-11-02,6558
1446508800000,2015-11-03,7399
1446595200000,2015-11-04,7037
1446681600000,2015-11-05,7498
1446768000000,2015-11-06,7882
1446854400000,2015-11-07,10996
1446940800000,2015-11-08,12413
1447027200000,2015-11-09,7689
1447113600000,2015-11-10,8151
1447200000000,2015-11-11,10217
1447286400000,2015-11-12,9534
1447372800000,2015-11-13,7891
1447459200000,2015-11-14,7211
1447545600000,2015-11-15,7170
1447632000000,2015-11-16,7442
1447718400000,2015-11-17,7145
1447804800000,2015-11-18,7373
1447891200000,2015-11-19,8876
1447977600000,2015-11-20,6348
1448064000000,2015-11-21,6822
1448150400000,2015-11-22,7083
1448236800000,2015-11-23,8260
1448323200000,2015-11-24,7152
1448409600000,2015-11-25,7098
1448496000000,2015-11-26,7278
1448582400000,2015-11-27,6639
1448668800000,2015-11-28,6817
1448755200000,2015-11-29,6853
1448841600000,2015-11-30,8986
1448928000000,2015-12-01,6794
1449014400000,2015-12-02,6502
1449100800000,2015-12-03,6971
1449187200000,2015-12-04,6898
1449273600000,2015-12-05,6784
1449360000000,2015-12-06,9103
1449446400000,2015-12-07,7141
1449532800000,2015-12-08,6697
1449619200000,2015-12-09,7001
1449705600000,2015-12-10,7444
1449792000000,2015-12-11,8105
1449878400000,2015-12-12,8205
1449964800000,2015-12-13,7426
1450051200000,2015-12-14,15550
1450137600000,2015-12-15,21098
1450224000000,2015-12-16,10304
1450310400000,2015-12-17,9612
1450396800000,2015-12-18,9032
1450483200000,2015-12-19,9314
1450569600000,2015-12-20,9879
1450656000000,2015-12-21,12063
1450742400000,2015-12-22,21027
1450828800000,2015-12-23,22740
1450915200000,2015-12-24,13494
1451001600000,2015-12-25,9521
1451088000000,2015-12-26,10726
1451174400000,2015-12-27,21867
1451260800000,2015-12-28,12368
1451347200000,2015-12-29,11358
1451433600000,2015-12-30,21767
1451520000000,2015-12-31,10301
1451606400000,2016-01-01,8233
1451692800000,2016-01-02,9164
1451779200000,2016-01-03,9258
1451865600000,2016-01-04,9474
1451952000000,2016-01-05,16430
1452038400000,2016-01-06,17074
1452124800000,2016-01-07,22075
1452211200000,2016-01-08,10919
1452297600000,2016-01-09,11793
1452384000000,2016-01-10,10320
1452470400000,2016-01-11,10893
1452556800000,2016-01-12,10862
1452643200000,2016-01-13,17665
1452729600000,2016-01-14,10653
1452816000000,2016-01-15,9875
1452902400000,2016-01-16,10664
1452988800000,2016-01-17,9747
1453075200000,2016-01-18,12916
1453161600000,2016-01-19,13420
1453248000000,2016-01-20,10610
1453334400000,2016-01-21,10734
1453420800000,2016-01-22,13848
1453507200000,2016-01-23,11025
1453593600000,2016-01-24,12798
1453680000000,2016-01-25,17121
1453766400000,2016-01-26,16511
1453852800000,2016-01-27,18747
1453939200000,2016-01-28,16765
1454025600000,2016-01-29,16395
1454112000000,2016-01-30,14661
1454198400000,2016-01-31,14166
1454284800000,2016-02-01,14199
1454371200000,2016-02-02,14291
1454457600000,2016-02-03,14274
1454544000000,2016-02-04,14371
1454630400000,2016-02-05,15249
1454716800000,2016-02-06,31418
1454803200000,2016-02-07,14264
1454889600000,2016-02-08,14719
1454976000000,2016-02-09,15517
1455062400000,2016-02-10,17141
1455148800000,2016-02-11,21440
1455235200000,2016-02-12,18109
1455321600000,2016-02-13,19327
1455408000000,2016-02-14,16624
1455494400000,2016-02-15,17159
1455580800000,2016-02-16,17549
1455667200000,2016-02-17,19990
1455753600000,2016-02-18,16969
1455840000000,2016-02-19,18412
1455926400000,2016-02-20,16714
1456012800000,2016-02-21,17119
1456099200000,2016-02-22,18190
1456185600000,2016-02-23,18482
1456272000000,2016-02-24,19540
1456358400000,2016-02-25,19503
1456444800000,2016-02-26,21068
1456531200000,2016-02-27,18981
1456617600000,2016-02-28,19063
1456704000000,2016-02-29,20358
1456790400000,2016-03-01,21778
1456876800000,2016-03-02,23562
1456963200000,2016-03-03,24837
1457049600000,2016-03-04,24287
1457136000000,2016-03-05,27115
1457222400000,2016-03-06,27661
1457308800000,2016-03-07,23271
1457395200000,2016-03-08,24105
1457481600000,2016-03-09,24557
1457568000000,2016-03-10,24814
1457654400000,2016-03-11,23124
1457740800000,2016-03-12,27887
1457827200000,2016-03-13,28127
1457913600000,2016-03-14,28528
1458000000000,2016-03-15,29273
1458086400000,2016-03-16,27596
1458172800000,2016-03-17,33531
1458259200000,2016-03-18,31821
1458345600000,2016-03-19,34779
1458432000000,2016-03-20,32447
1458518400000,2016-03-21,32511
1458604800000,2016-03-22,32890
1458691200000,2016-03-23,31786
1458777600000,2016-03-24,36947
1458864000000,2016-03-25,36762
1458950400000,2016-03-26,36646
1459036800000,2016-03-27,29974
1459123200000,2016-03-28,33613
1459209600000,2016-03-29,33915
1459296000000,2016-03-30,36767
1459382400000,2016-03-31,32259
1459468800000,2016-04-01,33320
1459555200000,2016-04-02,29358
1459641600000,2016-04-03,29588
1459728000000,2016-04-04,34907
1459814400000,2016-04-05,39173
1459900800000,2016-04-06,32078
1459987200000,2016-04-07,31893
1460073600000,2016-04-08,34010
1460160000000,2016-04-09,31923
1460246400000,2016-04-10,32237
1460332800000,2016-04-11,30327
1460419200000,2016-04-12,34673
1460505600000,2016-04-13,36051
1460592000000,2016-04-14,34781
1460678400000,2016-04-15,34959
1460764800000,2016-04-16,30483
1460851200000,2016-04-17,40203
1460937600000,2016-04-18,33513
1461024000000,2016-04-19,32622
1461110400000,2016-04-20,32944
1461196800000,2016-04-21,37181
1461283200000,2016-04-22,31678
1461369600000,2016-04-23,31845
1461456000000,2016-04-24,34046
1461542400000,2016-04-25,35430
1461628800000,2016-04-26,32582
1461715200000,2016-04-27,33847
1461801600000,2016-04-28,34343
